Sr_no,State,Highest_Literacy_Districts,H_Rate,Lowest_Literacy_Rate_Districts,L_Rate
1,Andaman & Nicobar Islands,South Andaman,89.13,Nicobars,78.06
2,Andhra Pradesh,West Godavari,74.63,Vizianagaram,58.89
3,Arunachal Pradesh,Papumpare,79.95,Kurung Kumey,48.75
4,Assam,Kamrup Metropolitan,88.71,Dhubri,58.34
5,Bihar,Rohtas,73.37,Purnia,51.08
6,Chandigarh,Chandigarh,86.05,Chandigarh,86.05
7,Chhattisgarh,Durg,79.06,Bijapur,40.86
8,Dadra and Nagar Haveli,Dadra and Nagar Haveli,76.24,Dadra and Nagar Haveli,76.24
9,Daman and Diu,Daman,88.07,Diu,83.46
10,Delhi,East Delhi,89.31,North East Delhi,83.09
11,Goa,North Goa,89.57,South Goa,87.59
12,Gujarat,Surat,85.53,Dohad,58.82
13,Haryana,Gurgaon,84.7,Mewat (Nuh),54.08
14,Himachal Pradesh,Hamirpur,88.15,Chamba,72.17
15,Jammu and Kashmir,Jammu,83.45,Ramban,54.27
16,Jharkhand,Ranchi,76.06,Pakur,48.82
17,Karnataka,Dakshina Kannada,88.57,Yadgir,51.83
18,Kerala,Kottayam,97.21,Wayanad,89.03
19,Lakshadweep,Lakshadweep,91.85,Lakshadweep,91.85
20,Madhya Pradesh,Jabalpur,81.07,Alirajpur,36.1
21,Maharashtra,Mumbai Suburban,89.91,Nandurbar,64.38
22,Manipur,Imphal West,86.08,Senapati,63.6
23,Meghalaya,East Khasi Hills,84.15,Jaintia Hills,61.64
24,Mizoram,Serchhip,97.91,Lawngtlai,65.88
25,Nagaland,Mokokchung,91.62,Mon,56.99
26,Orissa,Khordha,86.88,Nabarangapur,46.43
27,Puducherry,Mahe,97.87,Yanam,79.47
28,Punjab,Hoshiarpur,84.59,Mansa,61.83
29,Rajasthan,Kota,76.56,Jalore,54.86
30,Sikkim,East Sikkim,83.85,West Sikkim,77.39
31,Tamil Nadu,Kanyakumari,91.75,Dharmapuri,68.54
32,Tripura,West Tripura,88.69,South Tripura,84.66
33,Uttar Pradesh,Gautam Buddha Nagar,80.12,Shravasti,46.74
34,Uttarakhand,Dehradun,84.25,Udham Singh Nagar,73.1
35,West Bengal,Purba Medinipur,87.02,Uttar Dinajpur,59.07
