Sr_no,State,Population_in_2011,Literates,Estimated_population_in_2022
1,Andaman & Nicobar Islands,380581,"2,94,281",399001
2,Andhra Pradesh,84580777,"5,05,56,760",91702478
3,Arunachal Pradesh,1383727,"7,66,005",1711947
4,Assam,31205576,"1,91,77,977",35998752
5,Bihar,104099452,"5,25,04,553",128500364
6,Chandigarh,1055450,"8,05,438",1158040
7,Chhattisgarh,25545198,"1,53,79,922",32199722
8,Dadra and Nagar Haveli,343709,"2,23,230",453008
9,Daman and Diu,243247,"1,88,406",320989
10,Delhi,16787941,"1,27,37,767",19301096
11,Goa,1458545,"11,65,487",1521992
12,Gujarat,60439692,"4,10,93,358",70400153
13,Haryana,25351462,"1,65,98,988",28900667
14,Himachal Pradesh,6864602,"50,39,736",7503010
15,Jammu and Kashmir,12541302,"70,67,233",14999397
16,Jharkhand,32988134,"1,83,28,069",40100376
17,Karnataka,61095297,"4,06,47,322",69599762
18,Kerala,33406061,"2,81,35,824",34698876
19,Lakshadweep,64473,"52,553",66001
20,Madhya Pradesh,72626809,"4,28,51,169",85002417
21,Maharashtra,112374333,"8,15,54,290",124904071
22,Manipur,2855794,"19,08,476",3436948
23,Meghalaya,2966889,"17,85,005",3772103
24,Mizoram,1097206,"8,48,175",1308967
25,Nagaland,1978502,"13,42,434",2073074
26,Orissa,41974218,"2,67,42,595",47099270
27,Puducherry,1247953,"9,57,309",1646050
28,Punjab,27743338,"1,87,07,137",30501026
29,Rajasthan,68548437,"3,82,75,282",79502477
30,Sikkim,610577,"4,44,952",658019
31,Tamil Nadu,72147030,"5,18,37,507",83697770
32,Tripura,3673917,"28,04,783",4184959
33,Uttar Pradesh,199812341,"11,43,97,555",231502578
34,Uttarakhand,10086292,"68,80,953",11700099
35,West Bengal,91276115,"6,15,38,281",100896618
